Comment,Designator,Footprint,LCSC Part #
"10n","C1, C3, C832, C833","C0603","C57112"
"100n","C2, C4, C772, C430, C431, C831","C0603","C14663"
"1u","C5","C0603","C15849"
"B5819W","D1, D2, D3, D4, D416, D417, D101, D107","SOD-123","C8598"
"NUP2105L","D6","SOT-23","C284104"
"12H1500D","F1, F2, F3","PAD-1206-PAD","C182446"
"50mA","F4, F5, F6, F7, F8, F9","Fuse_0603_1608Metric","C369141"
"470R@100MHz","L1, L2","L_0603_1608Metric","C97853"
"33k","R2, R120","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"0","R5","R0603","C21189"
"10k","R10, R11, R12, R752, R753","R0805","C17414"
"4.7k","R13, R14, R15, R16, R17, R18, R19, R20, R21, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R822","R0603","C23162"
"22","R22, R23, R24, R28, R29, R30","R0603","C23345"
"0","R25, R26, R27, R31, R32, R33","R2512","C25469"
"1k","R54","R0603","C21190"
"VNLD5160TR-E","U1, U2, U3, U4, U5, U6, U7","SO8","C377942"
"MAX31855KASA","U8","SO8","C52028"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420, C470","C0402","C307331"
"1u","C414, C415, C755, C758, C761, C762, C763, C765, C766, C767, C600, C607, C609, C610, C611","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"4.7u","C427, C616","C0603","C19666"
"10n","C428, C756, C757, C760, C764, C768, C769, C202, C208, C209, C210, C211, C212, C213, C214, C215","C0402","C15195"
"220p","C429","C0402","C1530"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"BAS416","D415","SOD-323","C968040"
"PSM712-LF","D411","SOT-23","C32677"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"SMD1206P050TF/24","F410","SMD1206","C209741"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425, R474","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R757, R762, R763, R767, R768, R604, R605, R613, R614, R618, R619, R625, R102, R103, R105, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253","R0402","C25744"
"68k","R422, R760, R602, R603","R0402","C36871"
"12k","R423, R472, R754","R0402","C25752"
"4.7k","R428, R144, R203, R204, R207, R208, R219, R220, R223, R224","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"TLS115","U411","PG-DSO-8 EP","C540242"
"LMR14020","U420","SOP8","C187824"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"100k","R471, R473, R755, R756, R758, R759, R615, R621","R0402","C25741"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"1n","C751, C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228","C0402","C1523"
"470n","C752","C0402","C47339"
"100n","C753, C754, C759, C601, C602, C605, C608, C612, C613, C614, C615, C617, C618, C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"LED-GREEN-0603","D751, D771, D601, D104, D108","LED-0603","C72043"
"2.2k","R751, R122, R123, R146, R147","R0402","C25879"
"10","R761, R764, R769, R606, R110, R111, R112, R113, R114, R115, R116, R117","R0402","C25077"
"1k","R765, R766, R600, R601, R616, R617, R622, R626, R627, R628","R0402","C11702"
"SRV05-4-P-T7","U751, D102, D200, D202, D203, D206","SOT23-6","C85364"
"74AHC1G02","U752, U757","SOT23-5","C7463"
"MCP6004","U753, U600, U180, U185, U190, U195","TSSOP14","C50282"
"MAX9142","U754","SO8","C18567"
"NC7SB3157P6X","U755, U756","SOT-363","C87403"
"1n","C771","C0603","C1588"
"22u","C773","C0603","C59461"
"4.7k","R771, R772, R773, R774","R1206","C17936"
"10k","R776, R777, R821","R0603","C25804"
"MAX9924UAUB+","U771","MSOP-10_3x3mm_P0.5mm","C143633"
"33n","C603","C0402","C1585"
"LED-RED-0603","D600, D603, D103","LED-0603","C2286"
"LED-BLUE-0603","D602, D105, D109, D110, D111, D112, D113, D114, D115, D116","LED-0603","C72041"
"PESD1CAN","D604, D100, D430","SOT-23","C343993"
"VND7NV04TR-E","Q600","DPAK","C155605"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"AD8628","U601","TSOT23-5","C29309"
"STM32F042K6Tx","U602","LQFP32","C69216"
"REF3033","U603, U102","SOT-23","C36658"
"XC6206P332MR","U604","SOT-23","C5446"
"TJA1051T/3/1J","U605, U100, U430","SO8","C38695"
"STM32F429VGT6","U105","LQFP100","C95448"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SC-70-5","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"Molex MicroSD 47219-2001","J100","SDAMB-012","C164170"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LIS2DH12TR","U106","LGA12","C110926"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"BAT54S","VD100, VD101, VD102, VD103","SOT-23","C47546"
"AO3401A","Q100, Q102","SOT-23","C15127"
"AO3400A","Q101, Q103","SOT-23","C20917"
"680k","R201, R202, R205, R206, R221, R222, R225, R226","R0402","C163456"
"510","R133, R134","R0603","C23193"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"120","R100, R430","R0603","C22787"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10k","R129, R130, R140","R0603-4","C29718"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"1u","C123, C133","C0603","C519560"
"0","R131, R143, R145, R148","R0402","C17168"
"10u","C821, C822, C823, C824, C825, C826, C827, C828, C829, C830","C0805","C440198"
"TLE9201SG","U821","Infineon_PG-DSO-12-11","C112633"
