Designator,Mid X,Mid Y,Layer,Rotation
C1,32.035001mm,46.373747mm,Top,0.0
C2,32.035001mm,44.423762mm,Top,0.0
C3,32.035001mm,42.473777mm,Top,0.0
C4,32.035001mm,40.523792mm,Top,0.0
C5,32.035001mm,38.573807mm,Top,0.0
D1,23.13mm,66.043733mm,Top,0.0
D2,23.13mm,62.923733mm,Top,0.0
D3,23.13mm,59.803733mm,Top,0.0
D4,23.13mm,56.683733mm,Top,0.0
D5,95.57mm,55.405mm,Top,0.0
D6,97.955mm,35.38mm,Top,180.0
F1,29.74mm,66.043733mm,Top,0.0
F2,29.74mm,62.923733mm,Top,0.0
F3,29.74mm,59.803733mm,Top,0.0
F4,72.365mm,42.085mm,Top,0.0
F5,72.365mm,39.575mm,Top,0.0
F6,72.365mm,37.065mm,Top,0.0
F7,72.365mm,34.555mm,Top,0.0
F8,72.365mm,32.045mm,Top,0.0
F9,72.365mm,29.535mm,Top,0.0
J21,94.975mm,68.555mm,Top,0.0
J22,25.245mm,52.273733mm,Top,0.0
L1,93.505mm,36.525mm,Top,0.0
L2,93.505mm,34.015mm,Top,0.0
P1,150.002mm,40.893mm,Top,180.0
Q1,65.125mm,68.51mm,Top,180.0
Q2,65.125mm,60.315mm,Top,180.0
Q3,65.125mm,52.12mm,Top,180.0
Q4,65.125mm,43.925mm,Top,180.0
Q5,65.125mm,35.73mm,Top,180.0
Q6,65.125mm,27.535mm,Top,180.0
Q7,106.095mm,63.33mm,Top,180.0
R1,18.67mm,66.627138mm,Top,0.0
R2,18.67mm,64.678092mm,Top,0.0
R3,18.67mm,62.729046mm,Top,0.0
R4,29.060391mm,56.818342mm,Top,0.0
R5,18.67mm,60.78mm,Top,0.0
R6,18.67mm,58.830954mm,Top,0.0
R7,15.070001mm,66.353732mm,Top,0.0
R8,15.070001mm,63.850804mm,Top,0.0
R9,15.070001mm,61.347876mm,Top,0.0
R10,15.070001mm,58.844948mm,Top,0.0
R11,15.070001mm,56.34202mm,Top,0.0
R12,15.070001mm,53.839092mm,Top,0.0
R13,37.4mm,66.627138mm,Top,0.0
R14,37.4mm,64.678092mm,Top,0.0
R15,18.67mm,56.881908mm,Top,0.0
R16,37.4mm,62.729046mm,Top,0.0
R17,37.4mm,60.78mm,Top,0.0
R18,37.4mm,58.830954mm,Top,0.0
R19,37.4mm,56.881908mm,Top,0.0
R20,37.4mm,54.932862mm,Top,0.0
R21,37.4mm,52.983816mm,Top,0.0
R22,26.67mm,46.347138mm,Top,0.0
R23,26.67mm,44.398092mm,Top,0.0
R24,26.67mm,42.449046mm,Top,0.0
R25,74.705mm,70.235mm,Top,0.0
R26,74.705mm,65.345mm,Top,0.0
R27,74.705mm,60.455mm,Top,0.0
R28,26.67mm,40.5mm,Top,0.0
