Comment,Designator,Footprint,LCSC Part #
"10n","C1","C0603","C57112"
"100n","C2","C0603","C14663"
"10n","C3","C0603","C57112"
"100n","C4","C0603","C14663"
"1u","C5","C0603","C15849"
"B5819W","D1","SOD-123","C8598"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"SS34","D5","D_SMA",""
"NUP2105L","D6","SOT-23","C284104"
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"12H1500D","F3","PAD-1206-PAD","C182446"
"50mA","F4","Fuse_0603_1608Metric","C369141"
"50mA","F5","Fuse_0603_1608Metric","C369141"
"50mA","F6","Fuse_0603_1608Metric","C369141"
"50mA","F7","Fuse_0603_1608Metric","C369141"
"50mA","F8","Fuse_0603_1608Metric","C369141"
"50mA","F9","Fuse_0603_1608Metric","C369141"
"Conn_01x05_Male","J21","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_B_Mini","J22","USB-MINI-B-VERTICAL",""
"470R@100MHz","L1","L_0603_1608Metric","C97853"
"470R@100MHz","L2","L_0603_1608Metric","C97853"
"Module:power_12and5V/0.3","M1","power_12and5V",""
"Module:knock/0.2","M2","knock",""
"Module:vr-discrete/0.5","M3","vr-discrete",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"Module:wbo/0.5","M5","wbo",""
"Module:mega-mcu100/0.3","M6","mega-mcu100",""
"Module:can/0.1","M7","can",""
"Module:motor-driver/0.1","M8","motor-driver",""
"368255-2","P1","368255-2",""
"ISL9V3040D3ST","Q1","DPAK",""
"ISL9V3040D3ST","Q2","DPAK",""
"ISL9V3040D3ST","Q3","DPAK",""
"ISL9V3040D3ST","Q4","DPAK",""
"ISL9V3040D3ST","Q5","DPAK",""
"ISL9V3040D3ST","Q6","DPAK",""
"AO3400A","Q7","SOT-23",""
"4.7k","R1","R0603",""
"33k","R2","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"0","R5","R0603","C21189"
"0","R6","R0603",""
"DNP","R7","R0805",""
"DNP","R8","R0805",""
"DNP","R9","R0805",""
"10k","R10","R0805","C17414"
"10k","R11","R0805","C17414"
"10k","R12","R0805","C17414"
"4.7k","R13","R0603","C23162"
"4.7k","R14","R0603","C23162"
"4.7k","R15","R0603","C23162"
"4.7k","R16","R0603","C23162"
"4.7k","R17","R0603","C23162"
"4.7k","R18","R0603","C23162"
"4.7k","R19","R0603","C23162"
"4.7k","R20","R0603","C23162"
"4.7k","R21","R0603","C23162"
"22","R22","R0603","C23345"
"22","R23","R0603","C23345"
"22","R24","R0603","C23345"
"0","R25","R2512","C25469"
"0","R26","R2512","C25469"
"0","R27","R2512","C25469"
"22","R28","R0603","C23345"
"22","R29","R0603","C23345"
"22","R30","R0603","C23345"
"0","R31","R2512","C25469"
"0","R32","R2512","C25469"
"0","R33","R2512","C25469"
"4.7k","R34","R0603","C23162"
"4.7k","R35","R0603","C23162"
"4.7k","R36","R0603","C23162"
"4.7k","R37","R0603","C23162"
"4.7k","R38","R0603","C23162"
"4.7k","R39","R0603","C23162"
"4.7k","R40","R0603","C23162"
"4.7k","R41","R0603","C23162"
"4.7k","R42","R0603","C23162"
"4.7k","R43","R0603","C23162"
"4.7k","R44","R0603","C23162"
"4.7k","R45","R0603","C23162"
"4.7k","R46","R0603","C23162"
"4.7k","R47","R0603","C23162"
"4.7k","R48","R0603","C23162"
"4.7k","R49","R0603","C23162"
"4.7k","R50","R0603","C23162"
"4.7k","R51","R0603","C23162"
"4.7k","R52","R0603","C23162"
"4.7k","R53","R0603","C23162"
"1k","R54","R0603","C21190"
"VNLD5160TR-E","U1","SO8","C377942"
"VNLD5160TR-E","U2","SO8","C377942"
"VNLD5160TR-E","U3","SO8","C377942"
"VNLD5160TR-E","U4","SO8","C377942"
"VNLD5160TR-E","U5","SO8","C377942"
"VNLD5160TR-E","U6","SO8","C377942"
"VNLD5160TR-E","U7","SO8","C377942"
"MAX31855KASA","U8","SO8","C52028"
"BTS6143D","U10","TO-252-4",""
