Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,39.035001mm,53.873747mm,Top,0.0,39.035001mm,53.873747mm
C2,39.035001mm,51.923762mm,Top,0.0,39.035001mm,51.923762mm
C3,39.035001mm,49.973777mm,Top,0.0,39.035001mm,49.973777mm
C4,39.035001mm,48.023792mm,Top,0.0,39.035001mm,48.023792mm
C5,39.035001mm,46.073807mm,Top,0.0,39.035001mm,46.073807mm
D1,30.130000mm,73.543733mm,Top,0.0,30.130000mm,73.543733mm
D2,30.130000mm,70.423733mm,Top,0.0,30.130000mm,70.423733mm
D3,30.130000mm,67.303733mm,Top,0.0,30.130000mm,67.303733mm
D4,30.130000mm,64.183733mm,Top,0.0,30.130000mm,64.183733mm
D5,102.570000mm,62.905000mm,Top,0.0,102.570000mm,62.905000mm
D6,104.955000mm,42.880000mm,Top,180.0,104.955000mm,42.880000mm
F1,36.740000mm,73.543733mm,Top,0.0,36.740000mm,73.543733mm
F2,36.740000mm,70.423733mm,Top,0.0,36.740000mm,70.423733mm
F3,36.740000mm,67.303733mm,Top,0.0,36.740000mm,67.303733mm
F4,79.365000mm,49.585000mm,Top,0.0,79.365000mm,49.585000mm
F5,79.365000mm,47.075000mm,Top,0.0,79.365000mm,47.075000mm
F6,79.365000mm,44.565000mm,Top,0.0,79.365000mm,44.565000mm
F7,79.365000mm,42.055000mm,Top,0.0,79.365000mm,42.055000mm
F8,79.365000mm,39.545000mm,Top,0.0,79.365000mm,39.545000mm
F9,79.365000mm,37.035000mm,Top,0.0,79.365000mm,37.035000mm
J21,101.975000mm,76.055000mm,Top,0.0,101.975000mm,76.055000mm
J22,32.245000mm,59.773733mm,Top,0.0,32.245000mm,59.773733mm
L1,100.505000mm,44.025000mm,Top,0.0,100.505000mm,44.025000mm
L2,100.505000mm,41.515000mm,Top,0.0,100.505000mm,41.515000mm
M1,144.300003mm,33.199998mm,Top,0.0,144.300003mm,33.199998mm
M2,127.970003mm,35.349997mm,Top,0.0,127.970003mm,35.349997mm
M3,150.600003mm,81.450000mm,Top,0.0,150.600003mm,81.450000mm
M4,150.600003mm,70.400000mm,Top,0.0,150.600003mm,70.400000mm
M5,115.350003mm,39.900000mm,Top,0.0,115.350003mm,39.900000mm
M6,115.350003mm,55.249990mm,Top,0.0,115.350003mm,55.249990mm
M7,115.350003mm,31.563326mm,Top,0.0,115.350003mm,31.563326mm
M8,150.600003mm,59.150000mm,Top,0.0,150.600003mm,59.150000mm
P1,157.002000mm,48.393000mm,Top,180.0,157.002000mm,48.393000mm
Q1,72.125000mm,76.010000mm,Top,180.0,72.125000mm,76.010000mm
Q2,72.125000mm,67.815000mm,Top,180.0,72.125000mm,67.815000mm
Q3,72.125000mm,59.620000mm,Top,180.0,72.125000mm,59.620000mm
Q4,72.125000mm,51.425000mm,Top,180.0,72.125000mm,51.425000mm
Q5,72.125000mm,43.230000mm,Top,180.0,72.125000mm,43.230000mm
Q6,72.125000mm,35.035000mm,Top,180.0,72.125000mm,35.035000mm
