Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C0603",12.070000,28.300000,90.000000,bottom
"C5","1u","C0603",9.541994,28.247000,90.000000,bottom
"C843","10n","C0603",15.235997,34.277000,-90.000000,bottom
"C844","10n","C0603",15.196997,31.465000,90.000000,bottom
"C845","100n","C0603",16.400997,32.787000,-90.000000,bottom
"D842","B5819W","SOD-123",85.808000,33.442000,180.000000,bottom
"D843","B5819W","SOD-123",85.954000,36.457000,180.000000,bottom
"D844","B5819W","SOD-123",23.702000,84.847000,180.000000,bottom
"D845","B5819W","SOD-123",23.702000,87.008000,180.000000,bottom
"D846","NUP2105L","SOT-23",16.452003,29.349000,90.000000,bottom
"F844","50mA","Fuse_0603_1608Metric",129.520000,54.430000,0.000000,bottom
"F845","50mA","Fuse_0603_1608Metric",151.249000,39.039000,0.000000,bottom
"F846","50mA","Fuse_0603_1608Metric",151.340000,53.575000,0.000000,bottom
"F847","50mA","Fuse_0603_1608Metric",129.990000,80.885000,0.000000,bottom
"F848","50mA","Fuse_0603_1608Metric",151.437500,67.042500,0.000000,bottom
"F849","50mA","Fuse_0603_1608Metric",129.635000,38.362500,0.000000,bottom
"F850","50mA","Fuse_0603_1608Metric",129.410000,67.055000,0.000000,bottom
"F851","50mA","Fuse_0603_1608Metric",151.150000,81.635000,0.000000,bottom
"L841","470R@100MHz","L_0603_1608Metric",15.417003,25.735000,90.000000,bottom
"L842","470R@100MHz","L_0603_1608Metric",17.430003,25.897000,90.000000,bottom
"R7","DNP","R0805",13.028999,65.176000,0.000000,bottom
"R8","DNP","R0805",12.947000,68.228000,0.000000,bottom
"R10","10k","R0805",9.334020,65.154000,0.000000,bottom
"R11","10k","R0805",9.381000,68.258000,0.000000,bottom
"R316","4.7k","R0603",72.622000,32.968072,0.000000,bottom
"R317","4.7k","R0603",72.593000,34.413000,0.000000,bottom
"R318","4.7k","R0603",72.656000,35.843072,0.000000,bottom
"R319","4.7k","R0603",72.622000,37.366000,0.000000,bottom
"R320","4.7k","R0603",10.576000,84.395000,0.000000,bottom
"R321","4.7k","R0603",10.591000,85.788072,0.000000,bottom
"R322","4.7k","R0603",10.621000,87.174000,0.000000,bottom
"R323","4.7k","R0603",10.635000,88.567072,0.000000,bottom
"R700","22","R0603",129.340000,65.145000,180.000000,bottom
"R701","22","R0603",150.950000,78.995000,180.000000,bottom
"R867","22","R0603",129.520000,52.430000,180.000000,bottom
"R868","22","R0603",151.342000,37.484000,180.000000,bottom
"R869","22","R0603",151.452500,51.912500,180.000000,bottom
"R870","0","R_2512_6332Metric",135.600000,47.285000,-90.000000,bottom
"R871","0","R_2512_6332Metric",145.240000,31.305000,-90.000000,bottom
"R872","0","R_2512_6332Metric",145.390000,46.445000,-90.000000,bottom
"R873","22","R0603",129.880000,78.885000,180.000000,bottom
"R874","22","R0603",151.415000,64.780000,180.000000,bottom
"R875","22","R0603",129.635000,36.362500,180.000000,bottom
"R876","0","R_2512_6332Metric",135.855000,73.500000,-90.000000,bottom
"R877","0","R_2512_6332Metric",145.287500,59.277500,-90.000000,bottom
"R878","0","R_2512_6332Metric",136.140000,31.475000,-90.000000,bottom
"R879","0","R_2512_6332Metric",135.750000,60.175000,-90.000000,bottom
"R880","0","R_2512_6332Metric",145.180000,73.685000,-90.000000,bottom
"R900","22","R0603",97.190000,38.475000,180.000000,bottom
"R901","22","R0603",97.430000,53.945000,180.000000,bottom
"R902","22","R0603",96.610000,66.835000,180.000000,bottom
"R903","22","R0603",96.660000,81.115000,180.000000,bottom
"R904","22","R0603",120.400000,80.365000,180.000000,bottom
"R905","22","R0603",120.080000,66.705000,180.000000,bottom
"R906","22","R0603",120.260000,54.195000,180.000000,bottom
"R907","22","R0603",119.900000,38.665000,180.000000,bottom
"U842","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",78.161000,35.111000,0.000000,bottom
"U843","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",16.063000,86.408000,0.000000,bottom
"U846","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",10.661003,32.956000,180.000000,bottom
