Comment,Designator,Footprint,LCSC Part #
10n,C1,hellen-one-common:C0603,
10n,C2,hellen-one-common:C0603,
10n,C3,hellen-one-common:C0603,
10n,C4,hellen-one-common:C0603,
10n,C5,hellen-one-common:C0603,
B5819W,D1,hellen-one-common:SOD-123,
B5819W,D2,hellen-one-common:SOD-123,
B5819W,D3,hellen-one-common:SOD-123,
B5819W,D4,hellen-one-common:SOD-123,
SS34,D5,Diode_SMD:D_SMA,
NUP2105L,D6,Package_TO_SOT_SMD:SOT-23,
12H1500D,F1,hellen-one-common:PAD-1206-PAD,
12H1500D,F2,hellen-one-common:PAD-1206-PAD,
12H1500D,F3,hellen-one-common:PAD-1206-PAD,
50mA,F4,Fuse:Fuse_0603_1608Metric,
50mA,F5,Fuse:Fuse_0603_1608Metric,
50mA,F6,Fuse:Fuse_0603_1608Metric,
50mA,F7,Fuse:Fuse_0603_1608Metric,
50mA,F8,Fuse:Fuse_0603_1608Metric,
50mA,F9,Fuse:Fuse_0603_1608Metric,
Conn_01x05_Male,J21,Connector_Molex:Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical,
USB_B_Mini,J22,hellen-one-common:USB-MINI-B-VERTICAL,
470R@100MHz,L1,Inductor_SMD:L_0603_1608Metric,
470R@100MHz,L2,Inductor_SMD:L_0603_1608Metric,
Module-power_12and5V-0.3,M1,hellen-one-power_12and5V-0.3:power_12and5V,
Module-knock-0.2,M2,hellen-one-knock-0.2:knock,
Module-vr-discrete-0.5,M3,hellen-one-vr-discrete-0.5:vr-discrete,
Module-vr-max9924-0.1,M4,hellen-one-vr-max9924-0.1:vr-max9924,
Module-wbo-0.5,M5,hellen-one-wbo-0.5:wbo,
Module:mega-mcu100/0.3,M6,hellen-one-mega-mcu100-0.3:mega-mcu100,
Module-can-0.1,M7,hellen-one-can-0.1:can,
Module-motor-driver-0.1,M8,hellen-one-motor-driver-0.1:motor-driver,
368255-2,P1,368255-2:368255-2,
ISL9V3040D3ST,Q1,Package_TO_SOT_SMD:TO-252-2,
ISL9V3040D3ST,Q2,Package_TO_SOT_SMD:TO-252-2,
ISL9V3040D3ST,Q3,Package_TO_SOT_SMD:TO-252-2,
ISL9V3040D3ST,Q4,Package_TO_SOT_SMD:TO-252-2,
ISL9V3040D3ST,Q5,Package_TO_SOT_SMD:TO-252-2,
ISL9V3040D3ST,Q6,Package_TO_SOT_SMD:TO-252-2,
AO3400A,Q7,Package_TO_SOT_SMD:SOT-23,
4.7k,R1,hellen-one-common:R0603,
33k,R2,hellen-one-common:R0603,
6.8k,R3,hellen-one-common:R0603,
Jumper-Pad-Pad,R4,hellen-one-common:PAD-0805-PAD,
0,R5,hellen-one-common:R0603,
0,R6,hellen-one-common:R0603,
DNP,R7,hellen-one-common:R0805,
DNP,R8,hellen-one-common:R0805,
DNP,R9,hellen-one-common:R0805,
10k,R10,hellen-one-common:R0805,
10k,R11,hellen-one-common:R0805,
10k,R12,hellen-one-common:R0805,
4.7k,R13,hellen-one-common:R0603,
4.7k,R14,hellen-one-common:R0603,
4.7k,R15,hellen-one-common:R0603,
4.7k,R16,hellen-one-common:R0603,
4.7k,R17,hellen-one-common:R0603,
4.7k,R18,hellen-one-common:R0603,
4.7k,R19,hellen-one-common:R0603,
4.7k,R20,hellen-one-common:R0603,
4.7k,R21,hellen-one-common:R0603,
22,R22,hellen-one-common:R0603,
22,R23,hellen-one-common:R0603,
22,R24,hellen-one-common:R0603,
0,R25,Resistor_SMD:R_2512_6332Metric,
0,R26,Resistor_SMD:R_2512_6332Metric,
0,R27,Resistor_SMD:R_2512_6332Metric,
4.7k,R28,hellen-one-common:R0603,
4.7k,R29,hellen-one-common:R0603,
4.7k,R30,hellen-one-common:R0603,
22,R31,Resistor_SMD:R_2512_6332Metric,
22,R32,Resistor_SMD:R_2512_6332Metric,
22,R33,Resistor_SMD:R_2512_6332Metric,
22,R34,hellen-one-common:R0603,
22,R35,hellen-one-common:R0603,
22,R36,hellen-one-common:R0603,
22,R37,hellen-one-common:R0603,
22,R38,hellen-one-common:R0603,
22,R39,hellen-one-common:R0603,
22,R40,hellen-one-common:R0603,
22,R41,hellen-one-common:R0603,
22,R42,hellen-one-common:R0603,
22,R43,hellen-one-common:R0603,
22,R44,hellen-one-common:R0603,
22,R45,hellen-one-common:R0603,
22,R46,hellen-one-common:R0603,
22,R47,hellen-one-common:R0603,
22,R48,hellen-one-common:R0603,
22,R49,hellen-one-common:R0603,
22,R50,hellen-one-common:R0603,
22,R51,hellen-one-common:R0603,
22,R52,hellen-one-common:R0603,
22,R53,hellen-one-common:R0603,
22,R54,hellen-one-common:R0603,
22,U1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U4,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U5,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U6,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U7,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U8,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
22,U10,Package_TO_SOT_SMD:TO-252-4,
